PlateAppID,startBaseOutState,FinalBaseOutState,PA_EndValue_ExpectedRuns,PA_StartValue_ExpectedRuns,TotalRPrime,R,ChangeExpRuns,BatterID,Singles,Doubles,Triples,HR,BB,SO,FO
ABAM_AUBN_0504201901_PA17AWAY05,A0,B0,1.03432282,0.60122373,0,2,0.43309909,Mo_Mccull_ABAM_08,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA17AWAY06,B0,B1,0.663006757,1.03432282,0,2,-0.371316063,Ty_Gentry_ABAM_28,0,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA17AWAY07,B1,C2,0.341530055,0.663006757,0,2,-0.321476702,Dr_Willia_ABAM_55,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA17AWAY08,C2,B2,0.268656716,0.341530055,1,2,0.927126662,Jo_Breaux_ABAM_04,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA17AWAY11,C2,E2,0.49833887,0.341530055,0,1,0.156808816,Ko_Robins_ABAM_24,0,0,0,0,1,0,0
ABAM_AUBN_0504201901_PA17AWAY12,E2,E2,0.49833887,0.49833887,1,1,1,Ty_Ras000_ABAM_05,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA18HOME02,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Ed_Julien_AUBN_10,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA18HOME03,A1,A2,0.117848411,0.317337461,0,0,-0.199489051,Co_Davis0_AUBN_24,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA01AWAY01,A0,A1,0.317337461,0.60122373,0,1,-0.283886268,Br_Auerba_ABAM_07,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA01AWAY02,A1,A1,0.317337461,0.317337461,1,1,1,TJ_Reeves_ABAM_22,0,0,0,1,0,0,0
ABAM_AUBN_0505201901_PA01AWAY03,A1,B1,0.663006757,0.317337461,0,0,0.345669295,Mo_Mccull_ABAM_08,1,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA01AWAY04,B1,C2,0.341530055,0.663006757,0,0,-0.321476702,Ty_Gentry_ABAM_28,0,0,0,0,0,1,0
ABAM_AUBN_0505201901_PA02HOME01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Ju_Ward00_AUBN_01,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA02HOME02,A1,A2,0.117848411,0.317337461,0,0,-0.199489051,Ry_Bliss0_AUBN_09,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA02HOME03,A2,B2,0.268656716,0.117848411,0,0,0.150808306,Ed_Julien_AUBN_10,0,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA02HOME04,B2,E2,0.49833887,0.268656716,0,0,0.229682154,Co_Davis0_AUBN_24,1,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA03AWAY01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Jo_Breaux_ABAM_04,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA03AWAY02,A1,A2,0.117848411,0.317337461,0,0,-0.199489051,Ko_Robins_ABAM_24,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA04HOME01,A0,B0,1.03432282,0.60122373,0,3,0.43309909,St_Willia_AUBN_41,0,0,0,0,1,0,0
ABAM_AUBN_0505201901_PA04HOME02,B0,C1,0.813263525,1.03432282,0,3,-0.221059295,Ka_Howell_AUBN_16,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA04HOME04,C1,B1,0.663006757,0.813263525,1,3,0.849743231,Wi_Hollan_AUBN_17,1,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA04HOME05,B1,E1,1.186792453,0.663006757,0,2,0.523785696,Br_Moore0_AUBN_19,1,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA04HOME06,E1,G2,0.665254237,1.186792453,0,2,-0.521538216,Ju_Ward00_AUBN_01,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA04HOME07,G2,C2,0.341530055,0.665254237,2,2,1.676275817,Ry_Bliss0_AUBN_09,1,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA05AWAY01,A0,A1,0.317337461,0.60122373,0,2,-0.283886268,Ko_Morris_ABAM_50,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA05AWAY02,A1,B1,0.663006757,0.317337461,0,2,0.345669295,Br_Auerba_ABAM_07,1,0,0,0,0,0,0
