PlayerID,ID,GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE
Ri_King00_GEOR_31,34,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA16HOME07,home,King,2,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Jo_Cable0_GEOR_42,35,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA16HOME09,home,Cable,5,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
Aa_Schunk_GEOR_22,36,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA16HOME09,home,Schunk,3,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Jo_Breaux_ABAM_04,124,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA17AWAY12,away,Breaux,6,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Mo_Mccull_ABAM_08,125,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA01AWAY04,away,Mccullough,3,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
Ed_Julien_AUBN_10,126,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA02HOME04,home,Julien,3,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
St_Willia_AUBN_41,127,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA04HOME02,home,Williams,6,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
St_Willia_AUBN_41,128,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA04HOME04,home,Williams,6,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Wi_Hollan_AUBN_17,129,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA04HOME05,home,Holland,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Br_Moore0_AUBN_19,130,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA04HOME06,home,Moore,9,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Wi_Hollan_AUBN_17,131,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA04HOME06,home,Holland,8,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Ry_Bliss0_AUBN_09,132,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA04HOME07,home,Bliss,2,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
Br_Moore0_AUBN_19,133,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA04HOME07,home,Moore,9,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Wi_Hollan_AUBN_17,134,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA04HOME07,home,Holland,8,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
Br_Auerba_ABAM_07,135,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA05AWAY03,away,Auerbach,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,1,0,0
Br_Auerba_ABAM_07,136,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA05AWAY05,away,Auerbach,1,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Mo_Mccull_ABAM_08,137,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA05AWAY06,away,Mccullough,3,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ty_Gentry_ABAM_28,138,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA05AWAY07,away,Gentry,4,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Mo_Mccull_ABAM_08,139,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA05AWAY07,away,Mccullough,3,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
