"","PlayerID","ID","GameID","PlateAppID","HomeAway","RunnerName","Hole","Action","StartBase","EndBase","BasesAdded","SB","SBA","OutsAdded","Fielder1","Fielder2","RunsAdded","PO","POA","WP","PB","AOE"
"3616","Ma_Gilber_MSST_34",233014155,"MSST_OMSS_0511201901","MSST_OMSS_0511201901_PA13AWAY05","away","Gilbert",9,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"3649","Ma_Gilber_MSST_34",233014188,"MSST_OMSS_0512201901","MSST_OMSS_0512201901_PA07AWAY05","away","Gilbert",9,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"3650","Gu_Halter_MSST_02",233014189,"MSST_OMSS_0512201901","MSST_OMSS_0512201901_PA07AWAY05","away","Halter",8,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"3931","El_Macnam_MSST_40",233014295,"MSST_TENN_0407201901","MSST_TENN_0407201901_PA07AWAY03","away","Macnamee",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"3932","Ta_Allen0_MSST_05",233014296,"MSST_TENN_0407201901","MSST_TENN_0407201901_PA07AWAY03","away","Allen",3,"out",1,0,-1,0,0,1,"out at third rf","3b",0,0,0,0,0,0
"4302","Ga_Dugas0_LSTU_06",233014579,"OMSS_LSTU_0503201901","OMSS_LSTU_0503201901_PA12HOME03","home","Dugas",6,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"4303","Jo_Smith0_LSTU_04",233014580,"OMSS_LSTU_0503201901","OMSS_LSTU_0503201901_PA12HOME03","home","Smith",4,"scored",1,4,3,0,0,0,NA,NA,1,0,0,0,0,0
"4334","Ja_Adams0_OMSS_01",233014630,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA05AWAY06","away","Adams",9,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"4335","Co_Johnso_OMSS_13",233014631,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA05AWAY06","away","Johnson",7,"scored",1,4,3,0,0,0,NA,NA,1,0,0,0,0,0
"4560","TJ_Hopkin_SCAR_05",233014933,"SCAR_ABAM_0406201901","SCAR_ABAM_0406201901_PA01AWAY03","away","Hopkins",3,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
