,PlayerID,ID,GameID,PlateAppID,HomeAway,BatterName,BatterHole,CountBalls,CountStrikes,pitchBalls,pitchFouls,pitchKSwing,pitchKLook,pitchBIPs,Pitches,BIP,H,Bases,Singles,Doubles,Triples,HR,HitLocation,HitQuality,HitType,INFH,FO,FOLocation,FOQuality,FOType,DP,DPType,Reach,RBOE,FC,SAC,SF,BB,IBB,UBB,SO,KSwing,KLook,UCTS,SOReach,HBP,TrueOutcome
3091,Ne_Maldon_FLOR_27,4129,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY04,away,Maldonado,3,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 2b,soft,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1581,Ke_Calila_FLOR_06,4218,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY05,away,Calilao,4,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3092,Ke_Calila_FLOR_06,4130,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY05,away,Calilao,4,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1582,Au_Langwo_FLOR_44,4219,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY06,away,Langworthy,5,NA,NA,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,1,0,1,0,0,0,0,0,0,1
3093,Au_Langwo_FLOR_44,4131,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY06,away,Langworthy,5,NA,NA,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1583,Wi_Dalton_FLOR_16,4220,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY07,away,Dalton,6,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3094,Wi_Dalton_FLOR_16,4132,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY07,away,Dalton,6,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1584,Ju_Fabian_FLOR_04,4221,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY08,away,Fabian,7,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,left,hard,ground ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3095,Ju_Fabian_FLOR_04,4133,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY08,away,Fabian,7,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,left,hard,ground ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1585,Kr_Armstr_FLOR_34,4222,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY09,away,Armstrong,8,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3303,Kr_Armstr_FLOR_34,4134,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY09,away,Armstrong,8,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1586,Ke_Graham_OMSS_35,4223,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA06HOME01,home,Graham,7,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to lf,medium,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3304,Ke_Graham_OMSS_35,4135,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA06HOME01,home,Graham,7,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to lf,medium,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1587,Ch_Cockre_OMSS_11,4224,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA06HOME02,home,Cockrell,8,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,up the middle,hard,ground ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3305,Ch_Cockre_OMSS_11,4136,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA06HOME02,home,Cockrell,8,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,up the middle,hard,ground ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
