GameID,PlateAppID,HomeAway,BatterName,BatterHole,CountBalls,CountStrikes,pitchBalls,pitchFouls,pitchKSwing,pitchKLook,pitchBIPs,Pitches,BIP,H,Bases,Singles,Doubles,Triples,HR,HitLocation,HitQuality,HitType,INFH,FO,FOLocation,FOQuality,FOType,DP,DPType,Reach,RBOE,FC,SAC,SF,BB,IBB,UBB,SO,KSwing,KLook,UCTS,SOReach,HBP,TrueOutcome,BasesAdded,RunsAdded,OutsAdded,bostartOuts,bostartOnFirst,bostartOnSecond,bostartOnThird,bostartBaseState,bostartBaseOutState,boendOuts,boendOnFirst,boendOnSecond,boendOnThird,boendBaseState,boendBaseOutState
2019030101,2019030101Away0101b,away,Galland,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,center field,hard,fly ball,0,0,,,,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,A,A0,0,Galland,NA,NA,B,B0
2019030101,2019030101Away0103b,away,Dempsey,3,3,1,3,0,0,1,1,5,1,0,0,0,0,0,0,NA,NA,NA,0,1,to ss,soft,ground ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Galland,Galland,NA,E,E0,1,Galland,Galland,NA,E,E1
2019030101,2019030101Away0104b,away,Cunningham,4,0,2,0,0,2,1,0,3,0,0,0,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,False,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,Galland,Galland,NA,E,E1,2,Galland,Galland,NA,E,E2
2019030101,2019030101Away0105b,away,Martellini,5,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,1,to lf,medium,fly ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Galland,Galland,NA,E,E2,3,Galland,Galland,NA,E,E3
2019030101,2019030101Away0201b,away,Morissette,6,2,1,2,0,0,1,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,1,to ss,soft,ground ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1
2019030101,2019030101Away0202b,away,Baldelli,7,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 1b,soft,ground ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2
2019030101,2019030101Away0203b,away,Burns,8,3,2,3,1,1,1,0,6,0,0,0,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,False,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3
2019030101,2019030101Away0301b,away,Alu,9,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 2b,soft,ground ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1
2019030101,2019030101Away0302b,away,Galland,1,3,2,3,2,1,1,0,7,0,0,0,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,False,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2
2019030101,2019030101Away0303b,away,Frelick,2,0,0,0,1,1,0,1,3,1,1,2,0,1,0,0,right field,hard,fly ball,0,0,,,,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,NA,NA,NA,A,A2,2,NA,Frelick,NA,C,C2
2019030101,2019030101Away0304b,away,Dempsey,3,0,0,1,0,0,0,1,2,1,1,1,1,0,0,0,shallow infield,soft,ground ball,1,0,,,,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,NA,Frelick,NA,C,C2,2,Dempsey,Frelick,NA,E,E2
2019030101,2019030101Away0305b,away,Cunningham,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to cf,medium,fly ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Dempsey,Frelick,Frelick,H,H2,3,Dempsey,Frelick,Frelick,H,H3
2019030101,2019030101Away0401b,away,Martellini,5,3,2,3,6,1,1,0,11,0,0,0,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,False,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1
2019030101,2019030101Away0402b,away,Morissette,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,A,A1,1,NA,NA,NA,A,A1
2019030101,2019030101Away0403b,away,Baldelli,7,2,2,2,1,1,2,0,6,0,0,0,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,False,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3
2019030101,2019030101Away0501b,away,Burns,8,2,2,2,3,0,1,1,7,1,0,0,0,0,0,0,NA,NA,NA,0,1,to ss,soft,fly ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1
2019030101,2019030101Away0502b,away,Alu,9,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 1b,soft,ground ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2
2019030101,2019030101Away0503b,away,Galland,1,1,1,1,0,0,1,1,3,1,1,1,1,0,0,0,up the middle,hard,ground ball,0,0,,,,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,NA,NA,NA,A,A2,2,Galland,NA,NA,B,B2
2019030101,2019030101Away0504b,away,Frelick,2,3,0,3,0,0,0,1,4,1,1,1,1,0,0,0,center field,hard,fly ball,0,0,,,,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Galland,Galland,NA,E,E2,2,Frelick,Galland,NA,E,E2
2019030101,2019030101Away0505b,away,Dempsey,3,2,2,2,2,0,0,1,5,1,1,1,1,0,0,0,ERROR!,ERROR!,ERROR!,0,0,,,,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,NA,Frelick,NA,C,C2,2,Dempsey,Frelick,NA,E,E2
2019030101,2019030101Away0506b,away,Cunningham,4,1,1,1,0,1,0,1,3,1,0,0,0,0,0,0,NA,NA,NA,0,1,to rf,medium,fly ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Dempsey,Dempsey,Frelick,H,H2,3,Dempsey,Dempsey,Frelick,H,H3
2019030101,2019030101Away0601b,away,Martellini,5,1,1,1,0,0,1,1,3,1,1,1,1,0,0,0,up the middle,hard,ground ball,0,0,,,,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,A,A0,0,Martellini,NA,NA,B,B0
2019030101,2019030101Away0603b,away,Morissette,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Martellini,NA,NA,B,B0,0,Morissette,NA,NA,B,B0
2019030101,2019030101Away0604b,away,Baldelli,7,3,2,4,2,0,1,0,7,0,0,1,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,False,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,Morissette,Morissette,NA,E,E1,1,Baldelli,Morissette,NA,E,E1
2019030101,2019030101Away0605b,away,Burns,8,0,2,0,1,0,2,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 1b,soft,ground ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Baldelli,Morissette,NA,E,E1,2,Baldelli,Morissette,NA,E,E2
